id,estatus,tipo_poblacion,codigo_postal,colonia,alcaldia,estado_civil,dependientes_ecconomicos,num_dependientes_economicos,ult_grado_estudios,estatus_estudios,profesion,tiempo_buscando_empleo
3488,APROBADO,POB. PRIOR. AGRICULTORES AFECTADOS,13625,SANTA CRUZ,TLAHUAC,CASADO-A,SI,2,SECUNDARIA,CONCLUIDO,SIN DATO,0 A 3 MESES
3489,APROBADO,POBLACION GENERAL,06300,GUERRERO,CUAUHTEMOC,CASADO-A,SI,4,BACHILLERATO,CONCLUIDO,SIN DATO,0 A 3 MESES
3490,APROBADO,POB. PRIOR. AGRICULTORES AFECTADOS,12700,SAN FRANCISCO TECOXPA,MILPA ALTA,CASADO-A,SI,3,BACHILLERATO,CONCLUIDO,SIN DATO,0 A 3 MESES
3491,APROBADO,POBLACION GENERAL,06240,VALLE GOMEZ,CUAUHTEMOC,SOLTER0-A,NO,0,LICENCIATURA,CONCLUIDO,ADMINISTRACION,6 MESES A 1 AÑO
3492,APROBADO,POB. PRIOR. AGRICULTORES AFECTADOS,12100,XALTIPAC,MILPA ALTA,SOLTER0-A,SI,2,LICENCIATURA,TRUNCO,SIN DATO,0 A 3 MESES
3493,APROBADO,POBLACION GENERAL,06240,VALLE GOMEZ,CUAUHTEMOC,CASADO-A,SI,2,TECNICA/COMERCIAL,CONCLUIDO,CONTADOR,0 A 3 MESES
3494,APROBADO,POB. PRIOR. AGRICULTORES AFECTADOS,13200,MIGUEL HIDALGO,TLAHUAC,CASADO-A,SI,3,TECNICA/COMERCIAL,TRUNCO,SIN DATO,0 A 3 MESES
3495,APROBADO,POBLACION GENERAL,06600,JUAREZ,CUAUHTEMOC,SOLTER0-A,SI,1,BACHILLERATO,TRUNCO,SIN DATO,0 A 3 MESES
3496,APROBADO,POB. PRIOR. AGRICULTORES AFECTADOS,13360,LA CONCHITA ZAPOTITLAN,TLAHUAC,CASADO-A,SI,3,PRIMARIA,CONCLUIDO,SIN DATO,0 A 3 MESES
3497,APROBADO,POBLACION GENERAL,06400,SANTA MARIA LA RIBERA,CUAUHTEMOC,CASADO-A,SI,4,SECUNDARIA,CONCLUIDO,SIN DATO,0 A 3 MESES
3498,APROBADO,POB. PRIOR. AGRICULTORES AFECTADOS,13210,LOS OLIVOS,TLAHUAC,SOLTER0-A,NO,0,BACHILLERATO,TRUNCO,SIN DATO,0 A 3 MESES
3499,APROBADO,POBLACION GENERAL,06900,NONOALCO TLATELOLCO,CUAUHTEMOC,SOLTER0-A,SI,2,LICENCIATURA,CONCLUIDO,LICENCIATURA EN CIENCIAS DE LA INFORMATICA,6 MESES A 1 AÑO
3500,NO APROBADO,POB. PRIOR. AGRICULTORES AFECTADOS,12800,SAN JUAN TEPENAHUAC,MILPA ALTA,SOLTER0-A,NO,0,BACHILLERATO,CONCLUIDO,SIN DATO,0 A 3 MESES
3501,APROBADO,POBLACION GENERAL,06300,GUERRERO,CUAUHTEMOC,CASADO-A,NO,0,SECUNDARIA,CONCLUIDO,SIN DATO,0 A 3 MESES
3502,NO APROBADO,POB. PRIOR. AGRICULTORES AFECTADOS,12100,XALTIPAC,MILPA ALTA,CASADO-A,SI,4,PRIMARIA,CONCLUIDO,SIN DATO,0 A 3 MESES
3503,APROBADO,POBLACION GENERAL,05600,SAN MATEO TLALTENANGO,CUAJIMALPA DE MORELOS,SOLTER0-A,SI,1,LICENCIATURA,CONCLUIDO,NEGOCIOS INTERNACIONALES,0 A 3 MESES
3504,NO APROBADO,POB. PRIOR. AGRICULTORES AFECTADOS,12910,LA LUPITA TETICPAC,MILPA ALTA,CASADO-A,SI,1,PRIMARIA,CONCLUIDO,SIN DATO,0 A 3 MESES
3505,APROBADO,POBLACION GENERAL,05240,EL MOLINO,CUAJIMALPA DE MORELOS,SOLTER0-A,NO,0,TECNICA/COMERCIAL,CONCLUIDO,ASISTENTE EJECUTIVO,3 A 6 MESES
3506,APROBADO,POB. PRIOR. AGRICULTORES AFECTADOS,06070,CENTRO (AREA 7),CUAUHTEMOC,SOLTER0-A,NO,0,SECUNDARIA,CONCLUIDO,SIN DATO,0 A 3 MESES
3507,APROBADO,POBLACION GENERAL,05260,JESUS DEL MONTE,CUAJIMALPA DE MORELOS,SOLTER0-A,SI,1,TECNICA/COMERCIAL,TRUNCO,NINGUNA,0 A 3 MESES
3508,APROBADO,POB. PRIOR. AGRICULTORES AFECTADOS,16720,DEL CARMEN,XOCHIMILCO,CASADO-A,SI,2,BACHILLERATO,CONCLUIDO,SIN DATO,0 A 3 MESES
3509,APROBADO,POBLACION GENERAL,05110,COOPERATIVA PALO ALTO,CUAJIMALPA DE MORELOS,CASADO-A,NO,0,BACHILLERATO,CONCLUIDO,NINGUNA,6 MESES A 1 AÑO
3510,NO APROBADO,POB. PRIOR. AGRICULTORES AFECTADOS,13420,SELENE,TLAHUAC,CASADO-A,SI,2,PRIMARIA,CONCLUIDO,SIN DATO,0 A 3 MESES
3511,APROBADO,POBLACION GENERAL,05530,ABDIAS GARCIA SOTO,CUAJIMALPA DE MORELOS,SOLTER0-A,SI,2,SECUNDARIA,CONCLUIDO,NINGUNA,3 A 6 MESES
3512,NO APROBADO,POB. PRIOR. AGRICULTORES AFECTADOS,13420,SELENE,TLAHUAC,SOLTER0-A,SI,2,SECUNDARIA,CONCLUIDO,SIN DATO,0 A 3 MESES
3513,APROBADO,POBLACION GENERAL,05530,ABDIAS GARCIA SOTO,CUAJIMALPA DE MORELOS,CASADO-A,SI,3,LICENCIATURA,TRUNCO,NINGUNO,0 A 3 MESES
3514,APROBADO,POB. PRIOR. AGRICULTORES AFECTADOS,16090,BARRIO XALTOCAN,XOCHIMILCO,CASADO-A,SI,3,SECUNDARIA,CONCLUIDO,SIN DATO,0 A 3 MESES
3515,APROBADO,POBLACION GENERAL,05200,SAN JOSE DE LOS CEDROS,CUAJIMALPA DE MORELOS,CASADO-A,NO,0,TECNICA/COMERCIAL,CONCLUIDO,SECRETARIA EJECUTIVA,0 A 3 MESES
3516,APROBADO,POB. PRIOR. AGRICULTORES AFECTADOS,16600,SAN GREGORIO ATLAPULCO,XOCHIMILCO,CASADO-A,SI,1,PRIMARIA,TRUNCO,SIN DATO,0 A 3 MESES
3517,APROBADO,POBLACION GENERAL,05010,ZENTLAPATL,CUAJIMALPA DE MORELOS,CASADO-A,SI,2,TECNICA/COMERCIAL,CONCLUIDO,CONTADOR,3 A 6 MESES
3518,NO APROBADO,POB. PRIOR. AGRICULTORES AFECTADOS,16600,SAN GREGORIO ATLAPULCO,XOCHIMILCO,CASADO-A,SI,3,SECUNDARIA,CONCLUIDO,SIN DATO,0 A 3 MESES
3519,APROBADO,POBLACION GENERAL,05500,CONTADERO,CUAJIMALPA DE MORELOS,SOLTER0-A,NO,0,LICENCIATURA,CONCLUIDO,LIC SISTEMAS COMPUTACIONALES,0 A 3 MESES
3520,NO APROBADO,POB. PRIOR. AGRICULTORES AFECTADOS,12000,SANTA CRUZ,MILPA ALTA,CASADO-A,SI,3,SECUNDARIA,CONCLUIDO,SIN DATO,0 A 3 MESES
3521,APROBADO,POBLACION GENERAL,05410,SAN LORENZO ACOPILCO,CUAJIMALPA DE MORELOS,CASADO-A,SI,1,BACHILLERATO,CONCLUIDO,NINGUNA,0 A 3 MESES
3522,APROBADO,POB. PRIOR. AGRICULTORES AFECTADOS,16600,SAN GREGORIO ATLAPULCO,XOCHIMILCO,CASADO-A,SI,2,NINGUNO,SIN DATO,SIN DATO,0 A 3 MESES
3523,APROBADO,POBLACION GENERAL,05000,CUAJIMALPA,CUAJIMALPA DE MORELOS,CASADO-A,SI,3,BACHILLERATO,CONCLUIDO,NINGUNA,6 MESES A 1 AÑO
3524,APROBADO,POB. PRIOR. AGRICULTORES AFECTADOS,16034,BARRIO 18,XOCHIMILCO,SOLTER0-A,SI,2,PRIMARIA,CONCLUIDO,SIN DATO,0 A 3 MESES
3525,APROBADO,POBLACION GENERAL,05050,SAN PABLO CHIMALPA,CUAJIMALPA DE MORELOS,SOLTER0-A,SI,1,SECUNDARIA,CONCLUIDO,NINGUNA,0 A 3 MESES
3526,NO APROBADO,POB. PRIOR. AGRICULTORES AFECTADOS,16600,SAN GREGORIO ATLAPULCO,XOCHIMILCO,CASADO-A,SI,1,BACHILLERATO,CONCLUIDO,SIN DATO,0 A 3 MESES
3527,APROBADO,POBLACION GENERAL,05410,SAN LORENZO ACOPILCO,CUAJIMALPA DE MORELOS,CASADO-A,SI,2,BACHILLERATO,CONCLUIDO,NINGUNA,0 A 3 MESES
3528,APROBADO,POB. PRIOR. AGRICULTORES AFECTADOS,16780,CRISTO REY,XOCHIMILCO,CASADO-A,SI,3,SECUNDARIA,CONCLUIDO,SIN DATO,0 A 3 MESES
3529,APROBADO,POBLACION GENERAL,05118,GRANJAS PALO ALTO,CUAJIMALPA DE MORELOS,CASADO-A,SI,4,SECUNDARIA,TRUNCO,NINGUNA,0 A 3 MESES
3530,NO APROBADO,POB. PRIOR. AGRICULTORES AFECTADOS,16450,SANTA MARIA NATIVITAS,XOCHIMILCO,SOLTER0-A,SI,3,SECUNDARIA,CONCLUIDO,SIN DATO,0 A 3 MESES
3531,APROBADO,POBLACION GENERAL,05410,SAN LORENZO ACOPILCO,CUAJIMALPA DE MORELOS,CASADO-A,SI,1,SECUNDARIA,CONCLUIDO,NINGUNA,0 A 3 MESES
3532,APROBADO,POB. PRIOR. AGRICULTORES AFECTADOS,16600,SAN GREGORIO ATLAPULCO,XOCHIMILCO,SOLTER0-A,SI,5,SECUNDARIA,CONCLUIDO,SIN DATO,0 A 3 MESES
3533,APROBADO,POBLACION GENERAL,05200,SAN JOSE DE LOS CEDROS,CUAJIMALPA DE MORELOS,SOLTER0-A,NO,0,TECNICA/COMERCIAL,CONCLUIDO,PROFESIONAL TECNICO EN INFORMATICA,0 A 3 MESES
3534,APROBADO,POB. PRIOR. AGRICULTORES AFECTADOS,16030,AMPLIACION LA NORIA,XOCHIMILCO,SOLTER0-A,SI,4,SECUNDARIA,CONCLUIDO,SIN DATO,0 A 3 MESES
3535,APROBADO,POBLACION GENERAL,07090,C.T.M. ATZACOALCO,GUSTAVO A MADERO,SOLTER0-A,SI,2,SECUNDARIA,CONCLUIDO,SIN DATO,3 A 6 MESES
3536,NO APROBADO,POB. PRIOR. AGRICULTORES AFECTADOS,13200,MIGUEL HIDALGO,TLAHUAC,SOLTER0-A,SI,1,PRIMARIA,CONCLUIDO,SIN DATO,0 A 3 MESES
3537,NO APROBADO,POBLACION GENERAL,07520,25 DE JULIO,GUSTAVO A MADERO,SOLTER0-A,NO,0,SECUNDARIA,CONCLUIDO,SIN DATO,3 A 6 MESES
3538,NO APROBADO,POB. PRIOR. AGRICULTORES AFECTADOS,13200,MIGUEL HIDALGO,TLAHUAC,SOLTER0-A,SI,1,BACHILLERATO,CONCLUIDO,SIN DATO,0 A 3 MESES
3539,APROBADO,POBLACION GENERAL,07450,DM NACIONAL,GUSTAVO A MADERO,SOLTER0-A,NO,0,SECUNDARIA,CONCLUIDO,SIN DATO,0 A 3 MESES
3540,APROBADO,POB. PRIOR. AGRICULTORES AFECTADOS,13529,LA LOMA,TLAHUAC,CASADO-A,NO,0,SECUNDARIA,CONCLUIDO,SIN DATO,0 A 3 MESES
3541,APROBADO,POBLACION GENERAL,07420,NUEVA ATZACOALCO,GUSTAVO A MADERO,SOLTER0-A,SI,2,LICENCIATURA,CONCLUIDO,INGENIERIA INDUSTRIAL,6 MESES A 1 AÑO
3542,APROBADO,POB. PRIOR. AGRICULTORES AFECTADOS,13610,LOS REYES,TLAHUAC,SOLTER0-A,NO,SIN DATO,SECUNDARIA,CONCLUIDO,SIN DATO,0 A 3 MESES
3543,APROBADO,POBLACION GENERAL,07420,NUEVA ATZACOALCO,GUSTAVO A MADERO,SOLTER0-A,SI,1,BACHILLERATO,TRUNCO,SIN DATO,6 MESES A 1 AÑO
3544,APROBADO,POB. PRIOR. AGRICULTORES AFECTADOS,13219,LAS ARBOLEDAS,TLAHUAC,CASADO-A,SI,2,BACHILLERATO,CONCLUIDO,SIN DATO,0 A 3 MESES
3545,APROBADO,POBLACION GENERAL,07830,GERTRUDIS SANCHEZ 1A SECCION,GUSTAVO A MADERO,SOLTER0-A,SI,1,PRIMARIA,CONCLUIDO,SIN DATO,0 A 3 MESES
3546,APROBADO,POB. PRIOR. AGRICULTORES AFECTADOS,12500,SAN LORENZO TLACOYUCAN,MILPA ALTA,CASADO-A,SI,2,SECUNDARIA,TRUNCO,SIN DATO,0 A 3 MESES
3547,APROBADO,POBLACION GENERAL,07400,SALVADOR DIAZ MIRON,GUSTAVO A MADERO,CASADO-A,SI,1,LICENCIATURA,CONCLUIDO,ADMINISTRACION,3 A 6 MESES
3548,APROBADO,POB. PRIOR. AGRICULTORES AFECTADOS,16040,BARRIO SAN LORENZO,XOCHIMILCO,CASADO-A,NO,0,NINGUNO,SIN DATO,SIN DATO,0 A 3 MESES
3549,APROBADO,POBLACION GENERAL,07580,AMPLIACION CASAS ALEMAN,GUSTAVO A MADERO,SOLTER0-A,SI,1,LICENCIATURA,CONCLUIDO,CONTADOR,0 A 3 MESES
3550,APROBADO,POB. PRIOR. AGRICULTORES AFECTADOS,16040,BARRIO SAN LORENZO,XOCHIMILCO,CASADO-A,SI,3,PRIMARIA,CONCLUIDO,SIN DATO,0 A 3 MESES
3551,APROBADO,POBLACION GENERAL,07580,AMPLIACION CASAS ALEMAN,GUSTAVO A MADERO,SOLTER0-A,SI,2,LICENCIATURA,TRUNCO,SIN DATO,0 A 3 MESES
3552,APROBADO,POB. PRIOR. AGRICULTORES AFECTADOS,16780,CERRILLOS SEGUNDA SECCION,XOCHIMILCO,SOLTER0-A,NO,0,PRIMARIA,CONCLUIDO,SIN DATO,0 A 3 MESES
3553,APROBADO,POBLACION GENERAL,07580,AMPLIACION CASAS ALEMAN,GUSTAVO A MADERO,SOLTER0-A,NO,0,TECNICA/COMERCIAL,CONCLUIDO,SISTEMAS COMPUTACIONALES,0 A 3 MESES
3554,APROBADO,POB. PRIOR. AGRICULTORES AFECTADOS,09780,LOMAS DE SAN LORENZO,IZTAPALAPA,SOLTER0-A,SI,1,SECUNDARIA,CONCLUIDO,SIN DATO,0 A 3 MESES
3555,APROBADO,POBLACION GENERAL,07510,SAN FELIPE DE JESUS,GUSTAVO A MADERO,SOLTER0-A,SI,3,TECNICA/COMERCIAL,CONCLUIDO,SECRETARIA EN VENTAS,0 A 3 MESES
3556,APROBADO,POB. PRIOR. AGRICULTORES AFECTADOS,16000,BARRIO LA CONCEPCION TLACOAPA,XOCHIMILCO,CASADO-A,SI,2,NINGUNO,SIN DATO,SIN DATO,0 A 3 MESES
3557,NO APROBADO,POBLACION GENERAL,07870,VALLEJO,GUSTAVO A MADERO,CASADO-A,SI,1,LICENCIATURA,CONCLUIDO,DERECHO,0 A 3 MESES
3558,APROBADO,POB. PRIOR. AGRICULTORES AFECTADOS,16090,BARRIO XALTOCAN,XOCHIMILCO,SOLTER0-A,SI,4,PRIMARIA,TRUNCO,SIN DATO,0 A 3 MESES
3559,APROBADO,POBLACION GENERAL,07130,COMPOSITORES MEXICANOS,GUSTAVO A MADERO,SOLTER0-A,SI,1,PRIMARIA,CONCLUIDO,SIN DATO,0 A 3 MESES
3560,APROBADO,POB. PRIOR. AGRICULTORES AFECTADOS,16100,SANTA CRUZ XOCHITEPEC,XOCHIMILCO,SOLTER0-A,SI,2,BACHILLERATO,TRUNCO,SIN DATO,0 A 3 MESES
3561,APROBADO,POBLACION GENERAL,07800,INDUSTRIAL,GUSTAVO A MADERO,SOLTER0-A,NO,0,SECUNDARIA,CONCLUIDO,SIN DATO,3 A 6 MESES
3562,APROBADO,POB. PRIOR. AGRICULTORES AFECTADOS,13200,MIGUEL HIDALGO,TLAHUAC,SOLTER0-A,SI,2,TECNICA/COMERCIAL,CONCLUIDO,SIN DATO,0 A 3 MESES
3563,APROBADO,POBLACION GENERAL,07250,BENITO JUAREZ,GUSTAVO A MADERO,CASADO-A,SI,4,SECUNDARIA,CONCLUIDO,SIN DATO,0 A 3 MESES
3564,APROBADO,POB. PRIOR. AGRICULTORES AFECTADOS,12910,LA LUPITA TETICPAC,MILPA ALTA,SOLTER0-A,SI,1,BACHILLERATO,TRUNCO,SIN DATO,0 A 3 MESES
3565,NO APROBADO,POBLACION GENERAL,07850,BONDOJITO,GUSTAVO A MADERO,CASADO-A,SI,3,BACHILLERATO,CONCLUIDO,COMPUTACION FISCAL CONTABLE,0 A 3 MESES
3566,APROBADO,POB. PRIOR. AGRICULTORES AFECTADOS,13010,SANTA CECILIA,TLAHUAC,CASADO-A,SI,3,SECUNDARIA,CONCLUIDO,SIN DATO,0 A 3 MESES
3567,NO APROBADO,POBLACION GENERAL,9208,CHINAMPAC DE JUAREZ,GUSTAVO A MADERO,SIN DATO,NO,0,SECUNDARIA,CONCLUIDO,SIN DATO,SIN DATO
3568,APROBADO,POB. PRIOR. AGRICULTORES AFECTADOS,13610,LOS REYES,TLAHUAC,CASADO-A,SI,5,PRIMARIA,CONCLUIDO,SIN DATO,0 A 3 MESES
3569,NO APROBADO,POB. PRIORITARIA AFECTADOS POR EL SISMO,4650,PUEBLO DE SANTA URSULA COAPA,GUSTAVO A MADERO,SIN DATO,NO,0,TECNICA/COMERCIAL,CONCLUIDO,SIN DATO,SIN DATO
3570,APROBADO,POB. PRIOR. AGRICULTORES AFECTADOS,09900,SAN ANTONIO,IZTAPALAPA,SOLTER0-A,NO,0,LICENCIATURA,CONCLUIDO,SIN DATO,0 A 3 MESES
3571,NO APROBADO,POBLACION GENERAL,9260,CONSTITUCION DE 1917,GUSTAVO A MADERO,SIN DATO,NO,0,SECUNDARIA,CONCLUIDO,SIN DATO,SIN DATO
3572,APROBADO,POB. PRIOR. AGRICULTORES AFECTADOS,09900,SAN ANTONIO,IZTAPALAPA,CASADO-A,SI,4,PRIMARIA,CONCLUIDO,SIN DATO,0 A 3 MESES
3573,NO APROBADO,POB. PRIORITARIA AFECTADOS POR EL SISMO,9140,SANTA MARTHA ACATITLA NORTE,GUSTAVO A MADERO,SIN DATO,NO,0,SECUNDARIA,CONCLUIDO,SIN DATO,SIN DATO
3574,APROBADO,POB. PRIOR. AGRICULTORES AFECTADOS,02600,PRO-HOGAR,AZCAPOTZALCO,SOLTER0-A,SI,2,BACHILLERATO,TRUNCO,SIN DATO,0 A 3 MESES
3575,APROBADO,POBLACION GENERAL,6200,MORELOS,CUAUHTEMOC,SIN DATO,SIN DATO,SIN DATO,PRIMARIA,CONCLUIDO,SIN DATO,SIN DATO
3576,APROBADO,POB. PRIOR. AGRICULTORES AFECTADOS,13080,LOS REYES,TLAHUAC,SOLTER0-A,NO,0,BACHILLERATO,TRUNCO,SIN DATO,0 A 3 MESES
3577,NO APROBADO,POBLACION GENERAL,6400,SANTA MARIA LA RIBERA,GUSTAVO A MADERO,SIN DATO,NO,0,BACHILLERATO,CONCLUIDO,SIN DATO,SIN DATO
3578,APROBADO,POB. PRIOR. AGRICULTORES AFECTADOS,01548,VILLA PROGRESISTA,ALVARO OBREGON,SOLTER0-A,SI,1,SECUNDARIA,CONCLUIDO,SIN DATO,0 A 3 MESES
3579,NO APROBADO,POB. PRIORITARIA INDIGENAS,SIN DATO,SIN DATO,GUSTAVO A MADERO,SIN DATO,NO,0,SECUNDARIA,CONCLUIDO,SIN DATO,SIN DATO
3580,APROBADO,POB. PRIOR. AGRICULTORES AFECTADOS,01548,VILLA PROGRESISTA,ALVARO OBREGON,CASADO-A,NO,0,PRIMARIA,CONCLUIDO,SIN DATO,0 A 3 MESES
3581,APROBADO,POBLACION GENERAL,9860,CERRO DE LA ESTRELLA,GUSTAVO A MADERO,SIN DATO,NO,0,BACHILLERATO,CONCLUIDO,SIN DATO,SIN DATO
3582,APROBADO,POB. PRIOR. AGRICULTORES AFECTADOS,01278,DESARROLLO URBANO,ALVARO OBREGON,CASADO-A,NO,0,SECUNDARIA,CONCLUIDO,SIN DATO,0 A 3 MESES
3583,APROBADO,POBLACION GENERAL,9840,LOS REYES CULHUACAN,IZTAPALAPA,SIN DATO,SIN DATO,SIN DATO,PRIMARIA,CONCLUIDO,SIN DATO,SIN DATO
3584,APROBADO,POB. PRIOR. AGRICULTORES AFECTADOS,01278,DESARROLLO URBANO,ALVARO OBREGON,CASADO-A,SI,1,SECUNDARIA,CONCLUIDO,SIN DATO,0 A 3 MESES
3585,NO APROBADO,POBLACION GENERAL,7456,LI LEGISLATURA,GUSTAVO A MADERO,SIN DATO,NO,0,BACHILLERATO,CONCLUIDO,SIN DATO,SIN DATO
3586,APROBADO,POB. PRIOR. AGRICULTORES AFECTADOS,13080,LOS REYES,TLAHUAC,SOLTER0-A,SI,2,SECUNDARIA,CONCLUIDO,SIN DATO,0 A 3 MESES
3587,NO APROBADO,POBLACION GENERAL,9260,CONSTITUCION DE 1917,GUSTAVO A MADERO,SIN DATO,NO,0,LICENCIATURA,CONCLUIDO,SIN DATO,SIN DATO
3588,APROBADO,POB. PRIOR. AGRICULTORES AFECTADOS,01540,CEHUAYA,ALVARO OBREGON,CASADO-A,SI,1,SECUNDARIA,CONCLUIDO,SIN DATO,0 A 3 MESES
3589,NO APROBADO,POB. PRIORITARIA AFECTADOS POR EL SISMO,SIN DATO,SIN DATO,GUSTAVO A MADERO,SIN DATO,NO,0,TECNICA/COMERCIAL,CONCLUIDO,SIN DATO,SIN DATO
3590,APROBADO,POB. PRIOR. AGRICULTORES AFECTADOS,01540,CEHUAYA,ALVARO OBREGON,CASADO-A,SI,2,BACHILLERATO,CONCLUIDO,SIN DATO,0 A 3 MESES
3591,APROBADO,POBLACION GENERAL,11490,CUAUHTEMOC PENSIL,GUSTAVO A MADERO,SIN DATO,NO,0,BACHILLERATO,CONCLUIDO,SIN DATO,SIN DATO
3592,APROBADO,POB. PRIOR. AGRICULTORES AFECTADOS,12000,SANTA CRUZ,MILPA ALTA,CASADO-A,SI,2,LICENCIATURA,TRUNCO,SIN DATO,0 A 3 MESES
3593,NO APROBADO,POB. PRIORITARIA INDIGENAS,14900,PARRES EL GUARDA,TLALPAN,SIN DATO,SIN DATO,SIN DATO,SECUNDARIA,CONCLUIDO,SIN DATO,SIN DATO
3594,APROBADO,POB. PRIOR. AGRICULTORES AFECTADOS,12000,VILLA MILPA ALTA CENTRO,MILPA ALTA,SOLTER0-A,SI,3,PRIMARIA,TRUNCO,SIN DATO,0 A 3 MESES
3595,NO APROBADO,POBLACION GENERAL,16034,BARRIO 18,XOCHIMILCO,SIN DATO,SIN DATO,SIN DATO,BACHILLERATO,TRUNCO,SIN DATO,SIN DATO
3596,APROBADO,POB. PRIOR. AGRICULTORES AFECTADOS,12700,SAN FRANCISCO TECOXPA,MILPA ALTA,CASADO-A,SI,3,SECUNDARIA,TRUNCO,SIN DATO,0 A 3 MESES
3597,NO APROBADO,POBLACION GENERAL,7100,CUAUTEPEC BARRIO ALTO,GUSTAVO A MADERO,SIN DATO,SIN DATO,SIN DATO,BACHILLERATO,TRUNCO,SIN DATO,SIN DATO
3598,APROBADO,POB. PRIOR. AGRICULTORES AFECTADOS,13530,JAIME TORRES BODET,TLAHUAC,SOLTER0-A,SI,1,BACHILLERATO,CONCLUIDO,SIN DATO,0 A 3 MESES
3599,APROBADO,POBLACION GENERAL,16080,BARRIO SAN CRISTOBAL,XOCHIMILCO,SIN DATO,SIN DATO,SIN DATO,LICENCIATURA,CONCLUIDO,SIN DATO,SIN DATO
3600,APROBADO,POB. PRIOR. AGRICULTORES AFECTADOS,13280,AGRICOLA METROPOLITANA,TLAHUAC,CASADO-A,SI,2,SECUNDARIA,CONCLUIDO,SIN DATO,0 A 3 MESES
3601,NO APROBADO,POBLACION GENERAL,8500,AGRICOLA ORIENTAL,GUSTAVO A MADERO,SIN DATO,NO,0,LICENCIATURA,CONCLUIDO,SIN DATO,SIN DATO
3602,APROBADO,POB. PRIOR. AGRICULTORES AFECTADOS,12920,SAN MARCOS,MILPA ALTA,SOLTER0-A,SI,3,PRIMARIA,TRUNCO,SIN DATO,0 A 3 MESES
3603,NO APROBADO,POBLACION GENERAL,7969,SAN JUAN DE ARAGON II SECCION,GUSTAVO A MADERO,SIN DATO,NO,0,LICENCIATURA,TRUNCO,SIN DATO,SIN DATO
3604,APROBADO,POB. PRIOR. AGRICULTORES AFECTADOS,12920,SAN MARCOS,MILPA ALTA,SOLTER0-A,SI,2,SECUNDARIA,CONCLUIDO,SIN DATO,0 A 3 MESES
3605,NO APROBADO,POBLACION GENERAL,13219,AMPLIACION LOS OLIVOS,GUSTAVO A MADERO,SIN DATO,NO,0,LICENCIATURA,TRUNCO,SIN DATO,SIN DATO
3606,APROBADO,POB. PRIOR. AGRICULTORES AFECTADOS,09420,NUEVA ROSITA,IZTAPALAPA,SOLTER0-A,SI,3,SECUNDARIA,TRUNCO,SIN DATO,0 A 3 MESES
3607,NO APROBADO,POBLACION GENERAL,8300,SANTA ANITA,GUSTAVO A MADERO,SIN DATO,NO,0,TECNICA/COMERCIAL,CONCLUIDO,SIN DATO,SIN DATO
3608,APROBADO,POB. PRIOR. AGRICULTORES AFECTADOS,11850,SAN MIGUEL CHAPULTEPEC I SECCION,MIGUEL HIDALGO,SOLTER0-A,SI,2,SECUNDARIA,CONCLUIDO,SIN DATO,0 A 3 MESES
3609,NO APROBADO,POBLACION GENERAL,13625,SANTA CRUZ,TLAHUAC,SIN DATO,SIN DATO,SIN DATO,TECNICA/COMERCIAL,CONCLUIDO,SIN DATO,SIN DATO
3610,APROBADO,POB. PRIOR. AGRICULTORES AFECTADOS,11840,AMPLIACION DANIEL GARZA,MIGUEL HIDALGO,SOLTER0-A,SI,2,BACHILLERATO,CONCLUIDO,SIN DATO,0 A 3 MESES
3611,NO APROBADO,POBLACION GENERAL,9830,EL MANTO,IZTAPALAPA,SIN DATO,SIN DATO,SIN DATO,LICENCIATURA,CONCLUIDO,SIN DATO,SIN DATO
3612,APROBADO,POB. PRIOR. AGRICULTORES AFECTADOS,16100,SANTA CRUZ XOCHITEPEC,XOCHIMILCO,CASADO-A,SI,1,BACHILLERATO,TRUNCO,SIN DATO,0 A 3 MESES
3613,NO APROBADO,POBLACION GENERAL,9140,SANTA MARTHA ACATITLA NORTE,GUSTAVO A MADERO,SIN DATO,NO,0,BACHILLERATO,TRUNCO,SIN DATO,SIN DATO
3614,APROBADO,POB. PRIOR. AGRICULTORES AFECTADOS,16090,BARRIO SAN PEDRO,XOCHIMILCO,SOLTER0-A,SI,2,PRIMARIA,TRUNCO,SIN DATO,0 A 3 MESES
3615,NO APROBADO,POBLACION GENERAL,13430,AMPLIACION SELENE,GUSTAVO A MADERO,SIN DATO,NO,0,LICENCIATURA,CONCLUIDO,SIN DATO,SIN DATO
3616,APROBADO,POB. PRIOR. AGRICULTORES AFECTADOS,09868,SAN JUAN ESTRELLA,IZTAPALAPA,CASADO-A,NO,0,SECUNDARIA,CONCLUIDO,SIN DATO,0 A 3 MESES
3617,APROBADO,POBLACION GENERAL,7350,SAN JUAN Y GUADALUPE TICOMAN,GUSTAVO A MADERO,SIN DATO,SIN DATO,SIN DATO,PRIMARIA,CONCLUIDO,SIN DATO,SIN DATO
3618,APROBADO,POB. PRIOR. AGRICULTORES AFECTADOS,09440,SAN ANDRES TETEPILCO,IZTAPALAPA,SOLTER0-A,SI,3,SECUNDARIA,TRUNCO,SIN DATO,0 A 3 MESES
3619,NO APROBADO,POBLACION GENERAL,15270,MORELOS,GUSTAVO A MADERO,SIN DATO,NO,0,SECUNDARIA,CONCLUIDO,SIN DATO,SIN DATO
